id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
;6210;;15,4;профком;Кабинет Дирекции ИНЭЛ;ИНЭЛ;ИНЭЛ;
;6211;;16,1;приемная;Кабинет Дирекции ИРИТ;ИРИТ;ИРИТ;
;6212;;15,4;кабинет;Кабинет помощника ректора;Ректорат;;
;6213;;15,7;подгот.отд.;Опытное студенческое конструкторское бюро экспериментального авиа- и кораблестроения им. Р.Е.Алексеева КиАТАрхив проектов судов КиАТ;КиАТ;ИТС;
;6214;;32,6;комната;Помещение профкома сотрудников;Профком сотрудников НГТУ;Профком сотрудников НГТУ;
;6215;;32,5;кабинет;Специализированный кабинет кафедры «Менеджмент»;Менеджмент;ИНЭУ;
;6216;;15,7;кабинет;Кабинет помощника ректора;Ректорат;;
;6217;;31,4;кабинет;Кабинет проректоров;Ректорат;;
;6218;;19,2;кабинет;Приемная ректора, приемная проректоров ;Ректорат;;
;6219;;62,3;кабинет;Кабинет ректора;Ректорат;;
;6220;;15,4;кабинет;Кабинет помощника ректора;Ректорат;;
;6221;;16;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6222;;15,8;кабинет;Кабинет заместителя проректора по АХР;;;
;6223;;16;кабинет;Кабинет коменданта 6 учебного корпуса;ОЭЗиС;АХЧ;
;6224;;16,1;;Отдел капитального строительства;ОКС;АХЧ;
;6225;;32,2;;Отдел капитального строительства;ОКС;АХЧ;
;6226;;15,9;кабинет;Кабинет заместителя главного инженера;Служба главного инженера;АХЧ;
;6227;;15,8;;Комендантская служба 6 корпуса;ОЭЗиС;АХЧ;
;6228;;16,2;кабинет;Резерв ректората;Ректорат;;
;6229;;32,4;комната;Складское помещение;ОЭЗиС;АХЧ;
;6230;;16,1;кабинет;Кабинет сотрудников архива;Архив;Управление кадров;
;6231;15;16,1;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6232;;65,4;;Абонемент художественной литературы;НТБ НГТУ;НТБ НГТУ;
;6233;;55;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6234;;38,7;;Архив;Архив;Управление кадров;
;6235;30;42,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6236;;33,9;;Вентиляционная камера №3;Служба главного инженера;АХЧ;
;6237;168;160,9;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6239;138;137,2;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6240;138;137,2;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6241;28;35,8;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6243;24;40,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6244;20;38,8;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6245;136;176,4;аудитория;Мультимедийная аудитория ;Учебный отдел;УМУ;
;6246;112;134,7;аудитория;Мультимедийная аудитория ;Учебный отдел;УМУ;
;6247;;83,3;класс;Кабинет кафедры ОиЯФ;ОиЯФ;ЯЭиТФ;
;6248;;19,9;кабинет;Кабинет зав.кафедры ОиЯФ;ОиЯФ;ЯЭиТФ;
;6249;;8,3;комната;Техническое помещение ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6250;;12;комната;Техническое помещение ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6251;12;65,2;класс;Компьютерный класс ИВЦ № 6;ИВЦ НГТУ;Управление информатизации;
;6252;12;65,2;класс;Компьютерный класс ИВЦ № 7;ИВЦ НГТУ;Управление информатизации;
;6253;12;65,2;класс;Компьютерный класс ИВЦ № 8;ИВЦ НГТУ;Управление информатизации;
;6254;12;65,2;класс;Компьютерный класс ИВЦ № 9;ИВЦ НГТУ;Управление информатизации;
;6255;12;65,2;класс;Компьютерный класс ИВЦ № 10;ИВЦ НГТУ;Управление информатизации;
;6256;;65,2;;Сектор сопровождения учебного процесса;ИВЦ НГТУ;Управление информатизации;
;6257;;82,5;лаборатория;Учебная лаборатория «Оптика»;Кафедра;ИЯЭиТФ;
;6258;118;161,3;аудитория;; «Общая и ядерная физика»;;
;6259;112;159,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6260;;;;;;;
;6261;;;;;;;
;6262;;;;;;;
;6263;;;;;;;
;6264;;;;;;;
;6265;;;;;;;
;6266;;;;;;;
;6267;;;;;;;
;6268;;;;;;;
;6269;;;;;;;
;6270;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
